2022-11-08 19:02:17	S-> 0
2022-11-08 19:02:17	S-> 1
2022-11-08 19:02:17	S-> 2
2022-11-08 19:02:17	S-> 3
2022-11-08 19:02:17	S-> 4
2022-11-08 19:02:17	S-> 5
2022-11-08 19:02:17	S-> 6
2022-11-08 19:02:17	S-> 7
2022-11-08 19:02:17	S-> 8
2022-11-08 19:02:18	S-> 9
2022-11-08 19:02:18	S-> 10
2022-11-08 19:02:18	S-> 11
2022-11-08 19:02:18	S-> 12
2022-11-08 19:02:18	S-> 13
2022-11-08 19:02:18	S-> 14
2022-11-08 19:02:18	S-> 15
2022-11-08 19:02:18	S-> 16
2022-11-08 19:02:18	S-> 17
2022-11-08 19:02:19	S-> 18
2022-11-08 19:02:19	S-> 19
2022-11-08 19:02:19	S-> 20
2022-11-08 19:02:19	S-> 21
2022-11-08 19:02:19	S-> 22
2022-11-08 19:02:19	S-> 23
2022-11-08 19:02:19	S-> 24
2022-11-08 19:02:19	S-> 25
2022-11-08 19:02:19	S-> 26
2022-11-08 19:02:20	S-> 27
2022-11-08 19:02:20	S-> 28
2022-11-08 19:02:20	S-> 29
2022-11-08 19:02:20	S-> 30
2022-11-08 19:02:20	S-> 31
2022-11-08 19:02:20	S-> 32
2022-11-08 19:02:20	S-> 33
2022-11-08 19:02:20	S-> 34
2022-11-08 19:02:20	S-> 35
2022-11-08 19:02:20	S-> 36
2022-11-08 19:02:21	S-> 37
2022-11-08 19:02:21	S-> 38
2022-11-08 19:02:21	S-> 39
2022-11-08 19:02:21	S-> 40
2022-11-08 19:02:21	S-> 41
2022-11-08 19:02:21	S-> 42
2022-11-08 19:02:21	S-> 43
2022-11-08 19:02:21	S-> 44
2022-11-08 19:02:21	S-> 45
2022-11-08 19:02:22	S-> 46
2022-11-08 19:02:22	S-> 47
2022-11-08 19:02:22	S-> 48
2022-11-08 19:02:22	S-> 49
